Gene,Population,Phenotype,Count,N,Pct
UGT1A1,NGH,Intermediate Metabolizer,2,2,100.0
UGT1A1,NGI,Intermediate Metabolizer,2,5,40.0
UGT1A1,NGI,Normal Metabolizer,2,5,40.0
UGT1A1,NGI,Poor Metabolizer,1,5,20.0
UGT1A1,NGY,Intermediate Metabolizer,8,12,66.7
UGT1A1,NGY,Normal Metabolizer,2,12,16.7
UGT1A1,NGY,Poor Metabolizer,2,12,16.7
UGT1A1,SAV,Intermediate Metabolizer,5,19,26.3
UGT1A1,SAV,Normal Metabolizer,13,19,68.4
UGT1A1,SAV,Poor Metabolizer,1,19,5.3
UGT1A1,TZA,Poor Metabolizer,2,11,18.2
UGT1A1,TZA,Intermediate Metabolizer,5,11,45.5
UGT1A1,TZA,Normal Metabolizer,4,11,36.4
UGT1A1,TZB,Poor Metabolizer,5,10,50.0
UGT1A1,TZB,Normal Metabolizer,3,10,30.0
UGT1A1,TZB,Intermediate Metabolizer,2,10,20.0
UGT1A1,ZWD,Normal Metabolizer,3,21,14.3
UGT1A1,ZWD,Intermediate Metabolizer,10,21,47.6
UGT1A1,ZWD,Poor Metabolizer,8,21,38.1
UGT1A1,ZWS,Normal Metabolizer,7,20,35.0
UGT1A1,ZWS,Intermediate Metabolizer,11,20,55.0
UGT1A1,ZWS,Poor Metabolizer,2,20,10.0
